N S E
2 1.973129 0.986565
3 2.617139 0.872380
4 3.353567 0.838392
5 0.260976 0.052195
6 0.279420 0.046570
7 0.274302 0.039186
8 0.373927 0.046741
9 0.495072 0.055008
10 0.297890 0.029789
11 0.239148 0.021741
12 0.230083 0.019174
13 0.214291 0.016484
14 0.176594 0.012614
15 0.199420 0.013295
16 0.203405 0.012713
